timestep,HP - air,HP - seawater,HP - heat recovery,electric chiller
T5110,4.182,4.241,2.896,4.022
T5111,4.164,4.241,2.896,4.037
T5112,4.164,4.241,2.896,4.037
T5113,4.191,4.241,2.896,4.014
T5114,4.199,4.241,2.896,4.006
T5115,4.156,4.241,2.896,4.045
T5116,4.13,4.241,2.896,4.067
T5117,4.097,4.241,2.896,4.098
T5118,4.08,4.241,2.896,4.113
T5119,4.08,4.241,2.896,4.113
T5120,4.13,4.241,2.896,4.067
T5121,4.244,4.241,2.896,3.968
T5122,4.344,4.241,2.896,3.885
T5123,4.43,4.241,2.896,3.816
T5124,4.46,4.241,2.896,3.793
T5125,4.43,4.241,2.896,3.816
T5126,4.411,4.241,2.896,3.831
T5127,4.392,4.241,2.896,3.846
T5128,4.382,4.241,2.896,3.854
T5129,4.421,4.241,2.896,3.824
T5130,4.392,4.241,2.896,3.846
T5131,4.262,4.241,2.896,3.953
T5132,4.199,4.241,2.896,4.006
T5133,4.156,4.241,2.896,4.045
T5134,4.156,4.241,2.896,4.045
T5135,4.164,4.241,2.896,4.037
T5136,4.13,4.241,2.896,4.067
T5137,4.072,4.241,2.896,4.121
T5138,4.015,4.241,2.896,4.174
T5139,3.975,4.241,2.896,4.212
T5140,3.913,4.241,2.896,4.273
T5141,3.831,4.241,2.896,4.357
T5142,3.831,4.241,2.896,4.357
T5143,3.906,4.241,2.896,4.281
T5144,3.983,4.241,2.896,4.205
T5145,4.039,4.241,2.896,4.151
T5146,4.13,4.241,2.896,4.067
T5147,4.147,4.241,2.896,4.052
T5148,4.164,4.241,2.896,4.037
T5149,4.217,4.241,2.896,3.991
T5150,4.262,4.241,2.896,3.953
T5151,4.335,4.241,2.896,3.892
T5152,4.363,4.241,2.896,3.869
T5153,4.244,4.241,2.896,3.968
T5154,4.147,4.241,2.896,4.052
T5155,4.147,4.241,2.896,4.052
T5156,4.122,4.241,2.896,4.075
T5157,4.031,4.241,2.896,4.159
T5158,3.991,4.241,2.896,4.197
T5159,3.876,4.241,2.896,4.311
T5160,3.795,4.241,2.896,4.395
T5161,3.839,4.241,2.896,4.349
T5162,3.861,4.241,2.896,4.326
T5163,3.795,4.241,2.896,4.395
T5164,3.746,4.241,2.896,4.448
T5165,3.711,4.241,2.896,4.486
T5166,3.76,4.241,2.896,4.433
T5167,3.861,4.241,2.896,4.326
T5168,3.952,4.241,2.896,4.235
T5169,4.031,4.241,2.896,4.159
T5170,4.105,4.241,2.896,4.09
T5171,4.173,4.241,2.896,4.029
T5172,4.262,4.241,2.896,3.953
T5173,4.298,4.241,2.896,3.923
T5174,4.307,4.241,2.896,3.915
T5175,4.307,4.241,2.896,3.915
T5176,4.289,4.241,2.896,3.93
T5177,4.307,4.241,2.896,3.915
T5178,4.28,4.241,2.896,3.938
T5179,4.226,4.241,2.896,3.984
T5180,4.139,4.241,2.896,4.06
T5181,3.999,4.241,2.896,4.189
T5182,3.936,4.241,2.896,4.25
T5183,3.913,4.241,2.896,4.273
