SelectedTimestamp,Affaldsenergianlæg,Kraftvarmeanlæg,Spidslastbiomasse,Spidslastgas,Spidslastolie,Elkedler,Varmepumper,Industrieloverskudsvarme,Overskudsvarmedatacentre,Biogas,Solvarme,CO2-Udledning
1/1/2025-00:00:00,330.9673665365,1050.40079752617,0,0.100000002,0,70.4590352375833,16.37137142825,16.5698921679167,0.114188001,2.919000149,0,3.47713617483333
1/1/2025-01:00:00,337.182304382417,1105.24244181292,0,0.100000002,0,81.5169130961667,16.8144655228333,17.5688337484167,0.114188001,2.919000149,0,3.46999947225
1/1/2025-02:00:00,363.475110371917,1078.81274414067,0,0.100000002,0,83.6478595734167,16.9095152219167,16.5950454870833,0.114188001,2.919000149,0,3.51169161
1/1/2025-03:00:00,354.997629801333,1073.93853759767,0,0.100000002,0,72.0755233765833,16.6778016090833,17.2391963004167,0.114188001,2.919000149,0,3.41571923091667
1/1/2025-04:00:00,363.82105000825,1077.33582560208,0,0.100000002,0,70.5730590820833,16.966000716,16.6393513678333,0.114188001,2.919000149,0,3.35814537608333
1/1/2025-05:00:00,358.791982015,1071.25591023758,0,0.100000002,0,69.44468498225,16.7503747939167,15.3437444369167,0.114188001,2.919000149,0,3.37538530425
1/1/2025-06:00:00,359.186444600333,1031.57671101892,0,0.100000002,0,70.7336699168333,16.5322876770833,10.0614354214167,0.114188001,2.919000149,0,3.49129253625
1/1/2025-07:00:00,364.5796788535,1040.94513448092,0,0.100000002,0,71.5627683004167,14.98141503325,11.2107675870833,0.114188001,2.919000149,0,3.46273310983333
1/1/2025-08:00:00,362.376136779583,1070.94536336267,0,0.100000002,0,82.58027776075,12.9118292333333,11.0326428413333,0.114188001,2.919000149,0,3.51666128625
1/1/2025-09:00:00,365.725145975833,1122.16456095375,0,0.100000002,0,83.2824090321667,13.608587424,11.9445907275,0.114188001,2.919000149,0,3.44367140541667
1/1/2025-10:00:00,369.379582723,1090.38471476233,0,0.100000002,0,83.72914695725,13.9374416669167,12.5712448755833,0.114188001,2.919000149,0,3.48954649758333
1/1/2025-11:00:00,369.465876261333,1044.97220357258,0,0.100000002,0,83.08308347075,7.73881232741667,14.5620892841667,0.114188001,2.919000149,0,3.57445075125
1/1/2025-12:00:00,366.626752217583,1083.72146606458,0,0.100000002,0,82.5867741901667,9.12689137458333,14.9299302101667,0.114188001,2.919000149,0,3.5187556545
1/1/2025-13:00:00,368.334142049167,1117.062113444,0,0.100000002,0,78.5895538328333,9.09642728158333,15.432858308,0.114188001,2.919000149,0,3.42065451541667
1/1/2025-14:00:00,333.79305013025,1096.071533203,0,0.100000002,0,70.9993432363333,9.18950168308333,16.4044791061667,0.114188001,2.919000149,0,3.31604784716667
1/1/2025-15:00:00,322.021367391,1001.20379638683,0,0.100000002,0,72.2109158834167,9.08732477816667,17.1091588339167,0.114188001,2.919000149,0,3.4903544785
1/1/2025-16:00:00,328.746971130333,933.04596964525,0,0.100000002,0,84.1264781951667,9.08237314208333,17.3889029818333,0.114188001,2.919000149,0,3.75095317758333
1/1/2025-17:00:00,330.035832722833,1026.79061889642,0,0.100000002,0,84.914542516,9.16744486483333,16.2459477584167,0.114188001,2.919000149,0,3.56521530925
1/1/2025-18:00:00,330.382141113167,995.309641520167,0,0.100000002,0,70.4345245360833,7.23822085066667,14.77360693625,0.114188001,2.919000149,0,3.45252184066667
1/1/2025-19:00:00,327.348556518583,989.943064371833,0,0.100000002,0,72.78473854075,4.46622300166667,14.0794181029167,0.114188001,2.919000149,0,3.4958295425
