T0001,26.43
T0002,26.1
T0003,24.7
T0004,24.74
T0005,18.01
T0006,10.18
T0007,17.8
T0008,19.76
T0009,20.73
T0010,24.76
T0011,25.68
T0012,19.99
T0013,25.01
T0014,25.81
T0015,26.46
T0016,27.03
T0017,27.43
T0018,27.29
T0019,26.96
T0020,26.7
T0021,26.47
T0022,26.09
T0023,24.88
T0024,18.12
T0025,14.99
T0026,17.79
T0027,24.51
T0028,17.82
T0029,26.84
T0030,27.8
T0031,41.92
T0032,47.95
T0033,38.02
T0034,35.04
T0035,35.22
T0036,34.56
T0037,34.1
T0038,35.98
T0039,38.05
T0040,41.67
T0041,42.39
T0042,45.06
T0043,41.08
T0044,31.55
T0045,28.85
T0046,27.99
T0047,27.6
T0048,18.11
T0049,1.38
T0050,0.02
T0051,-5.99
T0052,-9.21
T0053,-4.64
T0054,18.51
T0055,28.95
T0056,29.2
T0057,29.28
T0058,29.42
T0059,29.25
T0060,29.23
T0061,29.49
T0062,29.86
T0063,30.51
T0064,31.33
T0065,31.59
T0066,30.78
T0067,30.15
T0068,29.37
T0069,28.93
T0070,28.13
T0071,27.31
T0072,27.05
T0073,26.78
T0074,26.47
T0075,26.49
T0076,26.6
T0077,27.01
T0078,28.04
T0079,30.43
T0080,40.45
T0081,41.97
T0082,37.55
T0083,36.02
T0084,35.53
T0085,35.3
T0086,35.83
T0087,42.04
T0088,42.53
T0089,51.43
T0090,49.96
T0091,46.73
T0092,41.57
T0093,37.09
T0094,32.49
T0095,28.05
T0096,27.38
T0097,26.93
T0098,26.5
T0099,26.5
T0100,26.88
T0101,27.66
T0102,28.65
T0103,30.44
T0104,36.2
T0105,36.3
T0106,38.95
T0107,39.4
T0108,41.69
T0109,42.41
T0110,42.38
T0111,47.1
T0112,47.77
T0113,56.35
T0114,57.42
T0115,53.92
T0116,42.36
T0117,39.9
T0118,35.98
T0119,35.24
T0120,29.45
T0121,28.55
T0122,28.18
T0123,28.0
T0124,28.15
T0125,28.7
T0126,30.0
T0127,31.36
T0128,34.19
T0129,41.11
T0130,43.16
T0131,43.17
T0132,43.14
T0133,39.96
T0134,36.04
T0135,34.91
T0136,40.52
T0137,43.91
T0138,43.87
T0139,35.09
T0140,31.06
T0141,30.72
T0142,29.98
T0143,29.03
T0144,27.58
T0145,25.9
T0146,25.89
T0147,26.16
T0148,26.6
T0149,27.14
T0150,27.43
T0151,27.69
T0152,27.93
T0153,28.33
T0154,28.79
T0155,28.95
T0156,28.96
T0157,28.27
T0158,28.29
T0159,28.62
T0160,29.38
T0161,30.88
T0162,34.34
T0163,32.33
T0164,29.96
T0165,28.94
T0166,29.13
T0167,27.57
T0168,25.03
T0169,23.96
T0170,23.92
T0171,25.48
T0172,26.12
T0173,27.96
T0174,29.62
T0175,42.93
T0176,44.95
T0177,42.57
T0178,41.98
T0179,41.54
T0180,42.9
T0181,42.9
T0182,40.91
T0183,40.97
T0184,39.69
T0185,40.26
T0186,37.99
T0187,31.16
T0188,29.68
T0189,28.92
T0190,28.49
T0191,28.09
T0192,27.17
T0193,22.1
T0194,9.79
T0195,4.99
T0196,9.24
T0197,14.66
T0198,28.99
T0199,31.54
T0200,32.53
T0201,32.26
T0202,32.13
T0203,32.32
T0204,32.04
T0205,31.8
T0206,31.47
T0207,31.4
T0208,32.25
T0209,32.87
T0210,32.44
T0211,31.5
T0212,30.59
T0213,30.15
T0214,29.23
T0215,28.56
T0216,28.87
T0217,28.3
T0218,27.95
T0219,26.91
T0220,27.37
T0221,30.17
T0222,34.87
T0223,44.01
T0224,47.98
T0225,47.98
T0226,48.04
T0227,47.78
T0228,47.09
T0229,44.15
T0230,45.97
T0231,46.83
T0232,48.9
T0233,51.9
T0234,52.69
T0235,49.1
T0236,40.0
T0237,35.81
T0238,33.24
T0239,33.86
T0240,31.01
T0241,30.03
T0242,29.86
T0243,29.97
T0244,30.95
T0245,33.24
T0246,41.5
T0247,51.37
T0248,55.65
T0249,55.11
T0250,55.13
T0251,54.57
T0252,52.86
T0253,46.87
T0254,49.91
T0255,52.28
T0256,54.81
T0257,56.38
T0258,56.1
T0259,40.35
T0260,39.96
T0261,34.01
T0262,40.1
T0263,30.06
T0264,30.0
T0265,29.42
T0266,29.2
T0267,29.18
T0268,29.6
T0269,31.22
T0270,33.22
T0271,44.19
T0272,47.08
T0273,44.35
T0274,43.57
T0275,43.44
T0276,39.58
T0277,37.63
T0278,36.73
T0279,35.2
T0280,44.07
T0281,45.89
T0282,43.53
T0283,33.11
T0284,31.56
T0285,31.45
T0286,30.36
T0287,29.54
T0288,30.15
T0289,29.63
T0290,29.16
T0291,28.93
T0292,28.79
T0293,28.98
T0294,29.35
T0295,30.28
T0296,30.85
T0297,31.51
T0298,31.81
T0299,31.89
T0300,31.88
T0301,31.85
T0302,31.39
T0303,31.33
T0304,33.92
T0305,37.96
T0306,36.71
T0307,32.07
T0308,30.59
T0309,29.8
T0310,29.34
T0311,28.8
T0312,23.25
T0313,24.81
T0314,24.95
T0315,25.99
T0316,25.31
T0317,26.77
T0318,28.35
T0319,28.55
