T,G_HR,value
T0001,HR_DC,53.11308254344246
T0002,HR_DC,53.11308254344246
T0003,HR_DC,53.11308254344246
T0004,HR_DC,53.11308254344246
T0005,HR_DC,53.11308254344246
T0006,HR_DC,53.11308254344246
T0007,HR_DC,53.11308254344246
T0008,HR_DC,53.11308254344246
T0009,HR_DC,53.11308254344246
T0010,HR_DC,53.11308254344246
T0011,HR_DC,53.11308254344246
T0012,HR_DC,53.11308254344246
T0013,HR_DC,53.11308254344246
T0014,HR_DC,53.11308254344246
T0015,HR_DC,53.11308254344246
T0016,HR_DC,53.11308254344246
T0017,HR_DC,53.11308254344246
T0018,HR_DC,53.11308254344246
T0019,HR_DC,53.11308254344246
T0020,HR_DC,53.11308254344246
T0021,HR_DC,53.11308254344246
T0022,HR_DC,53.11308254344246
T0023,HR_DC,53.11308254344246
T0024,HR_DC,53.11308254344246
T0025,HR_DC,53.11308254344246
T0026,HR_DC,53.11308254344246
T0027,HR_DC,53.11308254344246
T0028,HR_DC,53.11308254344246
T0029,HR_DC,53.11308254344246
T0030,HR_DC,53.11308254344246
T0031,HR_DC,53.11308254344246
T0032,HR_DC,53.11308254344246
T0033,HR_DC,53.11308254344246
T0034,HR_DC,53.11308254344246
T0035,HR_DC,53.11308254344246
T0036,HR_DC,53.11308254344246
T0037,HR_DC,53.11308254344246
T0038,HR_DC,53.11308254344246
T0039,HR_DC,53.11308254344246
T0040,HR_DC,53.11308254344246
T0041,HR_DC,53.11308254344246
T0042,HR_DC,53.11308254344246
T0043,HR_DC,53.11308254344246
T0044,HR_DC,53.11308254344246
T0045,HR_DC,53.11308254344246
T0046,HR_DC,53.11308254344246
T0047,HR_DC,53.11308254344246
T0048,HR_DC,53.11308254344246
T0049,HR_DC,53.11308254344246
T0050,HR_DC,53.11308254344246
T0051,HR_DC,53.11308254344246
T0052,HR_DC,53.11308254344246
T0053,HR_DC,53.11308254344246
T0054,HR_DC,53.11308254344246
T0055,HR_DC,53.11308254344246
T0056,HR_DC,53.11308254344246
T0057,HR_DC,53.11308254344246
T0058,HR_DC,53.11308254344246
T0059,HR_DC,53.11308254344246
T0060,HR_DC,53.11308254344246
T0061,HR_DC,53.11308254344246
