T,value
T0001,71.2733206503918
T0002,71.2733206503918
T0003,71.2733206503918
T0004,71.2733206503918
T0005,71.2733206503918
T0006,71.2733206503918
T0007,71.2733206503918
T0008,71.2733206503918
T0009,71.2733206503918
T0010,71.2733206503918
T0011,71.2733206503918
T0012,71.2733206503918
T0013,71.2733206503918
T0014,71.2733206503918
T0015,71.2733206503918
T0016,71.2733206503918
T0017,71.2733206503918
T0018,71.2733206503918
T0019,71.2733206503918
T0020,71.2733206503918
T0021,71.2733206503918
T0022,71.2733206503918
T0023,71.2733206503918
T0024,71.2733206503918
T0025,71.2733206503918
T0026,71.2733206503918
T0027,71.2733206503918
T0028,71.2733206503918
T0029,71.2733206503918
T0030,71.2733206503918
T0031,71.2733206503918
T0032,71.2733206503918
T0033,71.2733206503918
T0034,71.2733206503918
T0035,71.2733206503918
T0036,71.2733206503918
T0037,71.2733206503918
T0038,71.2733206503918
T0039,71.2733206503918
T0040,71.2733206503918
T0041,71.2733206503918
T0042,71.2733206503918
T0043,71.2733206503918
T0044,71.2733206503918
T0045,71.2733206503918
T0046,71.2733206503918
T0047,71.2733206503918
T0048,71.2733206503918
T0049,71.2733206503918
T0050,71.2733206503918
T0051,71.2733206503918
T0052,71.2733206503918
T0053,71.2733206503918
T0054,71.2733206503918
T0055,71.2733206503918
T0056,71.2733206503918
T0057,71.2733206503918
T0058,71.2733206503918
T0059,71.2733206503918
T0060,71.2733206503918
T0061,71.2733206503918
T0062,71.2733206503918
T0063,71.2733206503918
T0064,71.2733206503918
T0065,71.2733206503918
T0066,71.2733206503918
T0067,71.2733206503918
T0068,71.2733206503918
T0069,71.2733206503918
T0070,71.2733206503918
T0071,71.2733206503918
T0072,71.2733206503918
T0073,71.2733206503918
T0074,71.2733206503918
T0075,71.2733206503918
T0076,71.2733206503918
T0077,71.2733206503918
T0078,71.2733206503918
T0079,71.2733206503918
T0080,71.2733206503918
T0081,71.2733206503918
T0082,71.2733206503918
T0083,71.2733206503918
T0084,71.2733206503918
T0085,71.2733206503918
T0086,71.2733206503918
T0087,71.2733206503918
T0088,71.2733206503918
T0089,71.2733206503918
T0090,71.2733206503918
T0091,71.2733206503918
T0092,71.2733206503918
T0093,71.2733206503918
T0094,71.2733206503918
T0095,71.2733206503918
T0096,71.2733206503918
T0097,71.2733206503918
T0098,71.2733206503918
T0099,71.2733206503918
T0100,71.2733206503918
T0101,71.2733206503918
T0102,71.2733206503918
T0103,71.2733206503918
T0104,71.2733206503918
T0105,71.2733206503918
T0106,71.2733206503918
T0107,71.2733206503918
T0108,71.2733206503918
T0109,71.2733206503918
T0110,71.2733206503918
T0111,71.2733206503918
T0112,71.2733206503918
T0113,71.2733206503918
T0114,71.2733206503918
T0115,71.2733206503918
T0116,71.2733206503918
T0117,71.2733206503918
T0118,71.2733206503918
T0119,71.2733206503918
T0120,71.2733206503918
T0121,71.2733206503918
T0122,71.2733206503918
T0123,71.2733206503918
T0124,71.2733206503918
T0125,71.2733206503918
T0126,71.2733206503918
T0127,71.2733206503918
T0128,71.2733206503918
T0129,71.2733206503918
T0130,71.2733206503918
T0131,71.2733206503918
T0132,71.2733206503918
T0133,71.2733206503918
T0134,71.2733206503918
T0135,71.2733206503918
T0136,71.2733206503918
T0137,71.2733206503918
T0138,71.2733206503918
T0139,71.2733206503918
T0140,71.2733206503918
T0141,71.2733206503918
T0142,71.2733206503918
T0143,71.2733206503918
T0144,71.2733206503918
T0145,71.2733206503918
T0146,71.2733206503918
T0147,71.2733206503918
T0148,71.2733206503918
T0149,71.2733206503918
T0150,71.2733206503918
T0151,71.2733206503918
T0152,71.2733206503918
T0153,71.2733206503918
T0154,71.2733206503918
T0155,71.2733206503918
T0156,71.2733206503918
T0157,71.2733206503918
T0158,71.2733206503918
T0159,71.2733206503918
T0160,71.2733206503918
T0161,71.2733206503918
T0162,71.2733206503918
T0163,71.2733206503918
T0164,71.2733206503918
T0165,71.2733206503918
T0166,71.2733206503918
T0167,71.2733206503918
T0168,71.2733206503918
T0169,71.2733206503918
T0170,71.2733206503918
T0171,71.2733206503918
T0172,71.2733206503918
T0173,71.2733206503918
T0174,71.2733206503918
T0175,71.2733206503918
T0176,71.2733206503918
T0177,71.2733206503918
T0178,71.2733206503918
T0179,71.2733206503918
T0180,71.2733206503918
T0181,71.2733206503918
T0182,71.2733206503918
T0183,71.2733206503918
T0184,71.2733206503918
T0185,71.2733206503918
T0186,71.2733206503918
T0187,71.2733206503918
T0188,71.2733206503918
T0189,71.2733206503918
T0190,71.2733206503918
T0191,71.2733206503918
T0192,71.2733206503918
T0193,71.2733206503918
T0194,71.2733206503918
T0195,71.2733206503918
T0196,71.2733206503918
T0197,71.2733206503918
T0198,71.2733206503918
T0199,71.2733206503918
T0200,71.2733206503918
T0201,71.2733206503918
T0202,71.2733206503918
T0203,71.2733206503918
T0204,71.2733206503918
T0205,71.2733206503918
T0206,71.2733206503918
T0207,71.2733206503918
T0208,71.2733206503918
T0209,71.2733206503918
T0210,71.2733206503918
T0211,71.2733206503918
T0212,71.2733206503918
T0213,71.2733206503918
T0214,71.2733206503918
T0215,71.2733206503918
T0216,71.2733206503918
T0217,71.2733206503918
T0218,71.2733206503918
T0219,71.2733206503918
T0220,71.2733206503918
T0221,71.2733206503918
T0222,71.2733206503918
T0223,71.2733206503918
T0224,71.2733206503918
T0225,71.2733206503918
T0226,71.2733206503918
T0227,71.2733206503918
T0228,71.2733206503918
T0229,71.2733206503918
T0230,71.2733206503918
T0231,71.2733206503918
T0232,71.2733206503918
T0233,71.2733206503918
T0234,71.2733206503918
T0235,71.2733206503918
T0236,71.2733206503918
T0237,71.2733206503918
T0238,71.2733206503918
T0239,71.2733206503918
T0240,71.2733206503918
T0241,71.2733206503918
T0242,71.2733206503918
T0243,71.2733206503918
T0244,71.2733206503918
T0245,71.2733206503918
T0246,71.2733206503918
T0247,71.2733206503918
T0248,71.2733206503918
T0249,71.2733206503918
T0250,71.2733206503918
T0251,71.2733206503918
T0252,71.2733206503918
T0253,71.2733206503918
T0254,71.2733206503918
T0255,71.2733206503918
T0256,71.2733206503918
T0257,71.2733206503918
T0258,71.2733206503918
T0259,71.2733206503918
T0260,71.2733206503918
T0261,71.2733206503918
T0262,71.2733206503918
T0263,71.2733206503918
T0264,71.2733206503918
T0265,71.2733206503918
T0266,71.2733206503918
T0267,71.2733206503918
T0268,71.2733206503918
T0269,71.2733206503918
T0270,71.2733206503918
T0271,71.2733206503918
T0272,71.2733206503918
T0273,71.2733206503918
T0274,71.2733206503918
T0275,71.2733206503918
T0276,71.2733206503918
T0277,71.2733206503918
T0278,71.2733206503918
T0279,71.2733206503918
T0280,71.2733206503918
T0281,71.2733206503918
T0282,71.2733206503918
T0283,71.2733206503918
T0284,71.2733206503918
T0285,71.2733206503918
T0286,71.2733206503918
T0287,71.2733206503918
T0288,71.2733206503918
T0289,71.2733206503918
T0290,71.2733206503918
T0291,71.2733206503918
T0292,71.2733206503918
T0293,71.2733206503918
T0294,71.2733206503918
T0295,71.2733206503918
T0296,71.2733206503918
T0297,71.2733206503918
T0298,71.2733206503918
T0299,71.2733206503918
T0300,71.2733206503918
T0301,71.2733206503918
T0302,71.2733206503918
T0303,71.2733206503918
T0304,71.2733206503918
T0305,71.2733206503918
T0306,71.2733206503918
T0307,71.2733206503918
T0308,71.2733206503918
T0309,71.2733206503918
T0310,71.2733206503918
T0311,71.2733206503918
T0312,71.2733206503918
T0313,71.2733206503918
T0314,71.2733206503918
T0315,71.2733206503918
T0316,71.2733206503918
T0317,71.2733206503918
T0318,71.2733206503918
T0319,71.2733206503918
T0320,71.2733206503918
T0321,71.2733206503918
T0322,71.2733206503918
T0323,71.2733206503918
T0324,71.2733206503918
T0325,71.2733206503918
T0326,71.2733206503918
T0327,71.2733206503918
T0328,71.2733206503918
T0329,71.2733206503918
T0330,71.2733206503918
T0331,71.2733206503918
T0332,71.2733206503918
T0333,71.2733206503918
T0334,71.2733206503918
T0335,71.2733206503918
T0336,71.2733206503918
T0337,71.2733206503918
T0338,71.2733206503918
T0339,71.2733206503918
T0340,71.2733206503918
T0341,71.2733206503918
T0342,71.2733206503918
T0343,71.2733206503918
T0344,71.2733206503918
T0345,71.2733206503918
T0346,71.2733206503918
T0347,71.2733206503918
T0348,71.2733206503918
T0349,71.2733206503918
T0350,71.2733206503918
T0351,71.2733206503918
T0352,71.2733206503918
T0353,71.2733206503918
T0354,71.2733206503918
T0355,71.2733206503918
T0356,71.2733206503918
T0357,71.2733206503918
T0358,71.2733206503918
T0359,71.2733206503918
T0360,71.2733206503918
T0361,71.2733206503918
T0362,71.2733206503918
T0363,71.2733206503918
T0364,71.2733206503918
T0365,71.2733206503918
T0366,71.2733206503918
T0367,71.2733206503918
T0368,71.2733206503918
T0369,71.2733206503918
T0370,71.2733206503918
T0371,71.2733206503918
T0372,71.2733206503918
T0373,71.2733206503918
T0374,71.2733206503918
T0375,71.2733206503918
T0376,71.2733206503918
T0377,71.2733206503918
T0378,71.2733206503918
T0379,71.2733206503918
T0380,71.2733206503918
T0381,71.2733206503918
T0382,71.2733206503918
T0383,71.2733206503918
T0384,71.2733206503918
T0385,71.2733206503918
T0386,71.2733206503918
T0387,71.2733206503918
T0388,71.2733206503918
T0389,71.2733206503918
T0390,71.2733206503918
T0391,71.2733206503918
T0392,71.2733206503918
T0393,71.2733206503918
T0394,71.2733206503918
T0395,71.2733206503918
T0396,71.2733206503918
T0397,71.2733206503918
T0398,71.2733206503918
T0399,71.2733206503918
T0400,71.2733206503918
T0401,71.2733206503918
T0402,71.2733206503918
T0403,71.2733206503918
T0404,71.2733206503918
T0405,71.2733206503918
T0406,71.2733206503918
T0407,71.2733206503918
T0408,71.2733206503918
T0409,71.2733206503918
T0410,71.2733206503918
T0411,71.2733206503918
T0412,71.2733206503918
T0413,71.2733206503918
T0414,71.2733206503918
T0415,71.2733206503918
T0416,71.2733206503918
T0417,71.2733206503918
T0418,71.2733206503918
T0419,71.2733206503918
T0420,71.2733206503918
T0421,71.2733206503918
T0422,71.2733206503918
T0423,71.2733206503918
T0424,71.2733206503918
T0425,71.2733206503918
T0426,71.2733206503918
T0427,71.2733206503918
T0428,71.2733206503918
T0429,71.2733206503918
T0430,71.2733206503918
T0431,71.2733206503918
T0432,71.2733206503918
T0433,71.2733206503918
T0434,71.2733206503918
T0435,71.2733206503918
T0436,71.2733206503918
T0437,71.2733206503918
T0438,71.2733206503918
T0439,71.2733206503918
T0440,71.2733206503918
T0441,71.2733206503918
T0442,71.2733206503918
T0443,71.2733206503918
T0444,71.2733206503918
T0445,71.2733206503918
T0446,71.2733206503918
T0447,71.2733206503918
T0448,71.2733206503918
T0449,71.2733206503918
T0450,71.2733206503918
T0451,71.2733206503918
T0452,71.2733206503918
T0453,71.2733206503918
T0454,71.2733206503918
T0455,71.2733206503918
T0456,71.2733206503918
T0457,71.2733206503918
T0458,71.2733206503918
T0459,71.2733206503918
T0460,71.2733206503918
T0461,71.2733206503918
T0462,71.2733206503918
T0463,71.2733206503918
T0464,71.2733206503918
T0465,71.2733206503918
T0466,71.2733206503918
T0467,71.2733206503918
T0468,71.2733206503918
T0469,71.2733206503918
T0470,71.2733206503918
T0471,71.2733206503918
T0472,71.2733206503918
T0473,71.2733206503918
T0474,71.2733206503918
T0475,71.2733206503918
T0476,71.2733206503918
T0477,71.2733206503918
T0478,71.2733206503918
T0479,71.2733206503918
T0480,71.2733206503918
T0481,71.2733206503918
T0482,71.2733206503918
T0483,71.2733206503918
T0484,71.2733206503918
T0485,71.2733206503918
T0486,71.2733206503918
T0487,71.2733206503918
T0488,71.2733206503918
T0489,71.2733206503918
T0490,71.2733206503918
T0491,71.2733206503918
T0492,71.2733206503918
T0493,71.2733206503918
T0494,71.2733206503918
T0495,71.2733206503918
T0496,71.2733206503918
T0497,71.2733206503918
T0498,71.2733206503918
T0499,71.2733206503918
T0500,71.2733206503918
T0501,71.2733206503918
T0502,71.2733206503918
T0503,71.2733206503918
T0504,71.2733206503918
T0505,71.2733206503918
T0506,71.2733206503918
T0507,71.2733206503918
T0508,71.2733206503918
T0509,71.2733206503918
T0510,71.2733206503918
T0511,71.2733206503918
T0512,71.2733206503918
T0513,71.2733206503918
T0514,71.2733206503918
T0515,71.2733206503918
T0516,71.2733206503918
T0517,71.2733206503918
T0518,71.2733206503918
T0519,71.2733206503918
T0520,71.2733206503918
T0521,71.2733206503918
T0522,71.2733206503918
T0523,71.2733206503918
T0524,71.2733206503918
T0525,71.2733206503918
T0526,71.2733206503918
T0527,71.2733206503918
T0528,71.2733206503918
T0529,71.2733206503918
T0530,71.2733206503918
T0531,71.2733206503918
T0532,71.2733206503918
T0533,71.2733206503918
T0534,71.2733206503918
T0535,71.2733206503918
T0536,71.2733206503918
T0537,71.2733206503918
T0538,71.2733206503918
T0539,71.2733206503918
T0540,71.2733206503918
T0541,71.2733206503918
T0542,71.2733206503918
T0543,71.2733206503918
T0544,71.2733206503918
T0545,71.2733206503918
T0546,71.2733206503918
T0547,71.2733206503918
T0548,71.2733206503918
T0549,71.2733206503918
T0550,71.2733206503918
T0551,71.2733206503918
T0552,71.2733206503918
T0553,71.2733206503918
T0554,71.2733206503918
T0555,71.2733206503918
T0556,71.2733206503918
T0557,71.2733206503918
T0558,71.2733206503918
T0559,71.2733206503918
T0560,71.2733206503918
T0561,71.2733206503918
T0562,71.2733206503918
T0563,71.2733206503918
T0564,71.2733206503918
T0565,71.2733206503918
T0566,71.2733206503918
T0567,71.2733206503918
T0568,71.2733206503918
T0569,71.2733206503918
T0570,71.2733206503918
T0571,71.2733206503918
T0572,71.2733206503918
T0573,71.2733206503918
T0574,71.2733206503918
T0575,71.2733206503918
T0576,71.2733206503918
T0577,71.2733206503918
T0578,71.2733206503918
T0579,71.2733206503918
