project,name,country,policy
B0,DEsoc,DE,socioeconomic
B0,DEtax,DE,taxation
B0,DEsup,DE,support
B0,DKsoc,DK,socioeconomic
B0,DKtax,DK,taxation
B0,DKsup,DK,support
B0,FRsoc,FR,socioeconomic
B0,FRtax,FR,taxation
B0,FRsup,FR,support
