timestep,HOB_EL,HP_AMBIENT,HP_PROCESS,ELECTRIC_CHILLER,FREE_COOLING,HP_RECOVERY
T0113,22.7,28.93,28.93,28.93,28.93,28.93
T0114,22.7,28.93,28.93,28.93,28.93,28.93
T0115,22.7,28.93,28.93,28.93,28.93,28.93
T0116,22.7,28.93,28.93,28.93,28.93,28.93
T0117,22.7,28.93,28.93,28.93,28.93,28.93
T0118,20.39,23.5,23.5,23.5,23.5,23.5
T0119,20.39,23.5,23.5,23.5,23.5,23.5
T0120,20.39,23.5,23.5,23.5,23.5,23.5
T0121,19.24,19.9,19.9,19.9,19.9,19.9
T0122,19.24,19.9,19.9,19.9,19.9,19.9
T0123,19.24,19.9,19.9,19.9,19.9,19.9
T0124,19.24,19.9,19.9,19.9,19.9,19.9
T0125,19.24,19.9,19.9,19.9,19.9,19.9
T0126,19.24,19.9,19.9,19.9,19.9,19.9
T0127,22.7,28.93,28.93,28.93,28.93,28.93
T0128,22.7,28.93,28.93,28.93,28.93,28.93
T0129,22.7,28.93,28.93,28.93,28.93,28.93
T0130,22.7,28.93,28.93,28.93,28.93,28.93
T0131,22.7,28.93,28.93,28.93,28.93,28.93
T0132,22.7,28.93,28.93,28.93,28.93,28.93
T0133,22.7,28.93,28.93,28.93,28.93,28.93
T0134,22.7,28.93,28.93,28.93,28.93,28.93
T0135,22.7,28.93,28.93,28.93,28.93,28.93
T0136,22.7,28.93,28.93,28.93,28.93,28.93
T0137,22.7,28.93,28.93,28.93,28.93,28.93
T0138,22.7,28.93,28.93,28.93,28.93,28.93
T0139,22.7,28.93,28.93,28.93,28.93,28.93
T0140,22.7,28.93,28.93,28.93,28.93,28.93
T0141,22.7,28.93,28.93,28.93,28.93,28.93
T0142,20.39,23.5,23.5,23.5,23.5,23.5
T0143,20.39,23.5,23.5,23.5,23.5,23.5
T0144,20.39,23.5,23.5,23.5,23.5,23.5
T0145,19.24,19.9,19.9,19.9,19.9,19.9
T0146,19.24,19.9,19.9,19.9,19.9,19.9
T0147,19.24,19.9,19.9,19.9,19.9,19.9
T0148,19.24,19.9,19.9,19.9,19.9,19.9
T0149,19.24,19.9,19.9,19.9,19.9,19.9
T0150,19.24,19.9,19.9,19.9,19.9,19.9
T0151,22.7,28.93,28.93,28.93,28.93,28.93
T0152,22.7,28.93,28.93,28.93,28.93,28.93
T0153,22.7,28.93,28.93,28.93,28.93,28.93
T0154,22.7,28.93,28.93,28.93,28.93,28.93
T0155,22.7,28.93,28.93,28.93,28.93,28.93
T0156,22.7,28.93,28.93,28.93,28.93,28.93
T0157,22.7,28.93,28.93,28.93,28.93,28.93
T0158,22.7,28.93,28.93,28.93,28.93,28.93
T0159,22.7,28.93,28.93,28.93,28.93,28.93
T0160,22.7,28.93,28.93,28.93,28.93,28.93
T0161,22.7,28.93,28.93,28.93,28.93,28.93
T0162,22.7,28.93,28.93,28.93,28.93,28.93
T0163,22.7,28.93,28.93,28.93,28.93,28.93
T0164,22.7,28.93,28.93,28.93,28.93,28.93
T0165,22.7,28.93,28.93,28.93,28.93,28.93
T0166,20.39,23.5,23.5,23.5,23.5,23.5
T0167,20.39,23.5,23.5,23.5,23.5,23.5
T0168,20.39,23.5,23.5,23.5,23.5,23.5
T0169,19.24,19.9,19.9,19.9,19.9,19.9
T0170,19.24,19.9,19.9,19.9,19.9,19.9
T0171,19.24,19.9,19.9,19.9,19.9,19.9
T0172,19.24,19.9,19.9,19.9,19.9,19.9
T0173,19.24,19.9,19.9,19.9,19.9,19.9
T0174,19.24,19.9,19.9,19.9,19.9,19.9
T0175,22.7,28.93,28.93,28.93,28.93,28.93
T0176,22.7,28.93,28.93,28.93,28.93,28.93
T0177,22.7,28.93,28.93,28.93,28.93,28.93
T0178,22.7,28.93,28.93,28.93,28.93,28.93
T0179,22.7,28.93,28.93,28.93,28.93,28.93
T0180,22.7,28.93,28.93,28.93,28.93,28.93
T0181,22.7,28.93,28.93,28.93,28.93,28.93
T0182,22.7,28.93,28.93,28.93,28.93,28.93
T0183,22.7,28.93,28.93,28.93,28.93,28.93
T0184,22.7,28.93,28.93,28.93,28.93,28.93
T0185,22.7,28.93,28.93,28.93,28.93,28.93
T0186,22.7,28.93,28.93,28.93,28.93,28.93
T0187,22.7,28.93,28.93,28.93,28.93,28.93
T0188,22.7,28.93,28.93,28.93,28.93,28.93
T0189,22.7,28.93,28.93,28.93,28.93,28.93
T0190,20.39,23.5,23.5,23.5,23.5,23.5
T0191,20.39,23.5,23.5,23.5,23.5,23.5
T0192,20.39,23.5,23.5,23.5,23.5,23.5
T0193,19.24,19.9,19.9,19.9,19.9,19.9
T0194,19.24,19.9,19.9,19.9,19.9,19.9
T0195,19.24,19.9,19.9,19.9,19.9,19.9
T0196,19.24,19.9,19.9,19.9,19.9,19.9
T0197,19.24,19.9,19.9,19.9,19.9,19.9
T0198,19.24,19.9,19.9,19.9,19.9,19.9
T0199,22.7,28.93,28.93,28.93,28.93,28.93
T0200,22.7,28.93,28.93,28.93,28.93,28.93
T0201,22.7,28.93,28.93,28.93,28.93,28.93
T0202,22.7,28.93,28.93,28.93,28.93,28.93
T0203,22.7,28.93,28.93,28.93,28.93,28.93
T0204,22.7,28.93,28.93,28.93,28.93,28.93
T0205,22.7,28.93,28.93,28.93,28.93,28.93
T0206,22.7,28.93,28.93,28.93,28.93,28.93
T0207,22.7,28.93,28.93,28.93,28.93,28.93
T0208,22.7,28.93,28.93,28.93,28.93,28.93
T0209,22.7,28.93,28.93,28.93,28.93,28.93
T0210,22.7,28.93,28.93,28.93,28.93,28.93
T0211,22.7,28.93,28.93,28.93,28.93,28.93
T0212,22.7,28.93,28.93,28.93,28.93,28.93
T0213,22.7,28.93,28.93,28.93,28.93,28.93
T0214,20.39,23.5,23.5,23.5,23.5,23.5
T0215,20.39,23.5,23.5,23.5,23.5,23.5
T0216,20.39,23.5,23.5,23.5,23.5,23.5
T0217,19.24,19.9,19.9,19.9,19.9,19.9
T0218,19.24,19.9,19.9,19.9,19.9,19.9
T0219,19.24,19.9,19.9,19.9,19.9,19.9
T0220,19.24,19.9,19.9,19.9,19.9,19.9
T0221,19.24,19.9,19.9,19.9,19.9,19.9
T0222,19.24,19.9,19.9,19.9,19.9,19.9
T0223,22.7,28.93,28.93,28.93,28.93,28.93
T0224,22.7,28.93,28.93,28.93,28.93,28.93
T0225,22.7,28.93,28.93,28.93,28.93,28.93
T0226,22.7,28.93,28.93,28.93,28.93,28.93
T0227,22.7,28.93,28.93,28.93,28.93,28.93
T0228,22.7,28.93,28.93,28.93,28.93,28.93
T0229,22.7,28.93,28.93,28.93,28.93,28.93
T0230,22.7,28.93,28.93,28.93,28.93,28.93
T0231,22.7,28.93,28.93,28.93,28.93,28.93
T0232,22.7,28.93,28.93,28.93,28.93,28.93
T0233,22.7,28.93,28.93,28.93,28.93,28.93
T0234,22.7,28.93,28.93,28.93,28.93,28.93
T0235,22.7,28.93,28.93,28.93,28.93,28.93
T0236,22.7,28.93,28.93,28.93,28.93,28.93
T0237,22.7,28.93,28.93,28.93,28.93,28.93
T0238,20.39,23.5,23.5,23.5,23.5,23.5
T0239,20.39,23.5,23.5,23.5,23.5,23.5
T0240,20.39,23.5,23.5,23.5,23.5,23.5
T0241,19.24,19.9,19.9,19.9,19.9,19.9
T0242,19.24,19.9,19.9,19.9,19.9,19.9
T0243,19.24,19.9,19.9,19.9,19.9,19.9
T0244,19.24,19.9,19.9,19.9,19.9,19.9
T0245,19.24,19.9,19.9,19.9,19.9,19.9
T0246,19.24,19.9,19.9,19.9,19.9,19.9
T0247,22.7,28.93,28.93,28.93,28.93,28.93
T0248,22.7,28.93,28.93,28.93,28.93,28.93
T0249,22.7,28.93,28.93,28.93,28.93,28.93
T0250,22.7,28.93,28.93,28.93,28.93,28.93
T0251,22.7,28.93,28.93,28.93,28.93,28.93
T0252,22.7,28.93,28.93,28.93,28.93,28.93
T0253,22.7,28.93,28.93,28.93,28.93,28.93
T0254,22.7,28.93,28.93,28.93,28.93,28.93
T0255,22.7,28.93,28.93,28.93,28.93,28.93
T0256,22.7,28.93,28.93,28.93,28.93,28.93
T0257,22.7,28.93,28.93,28.93,28.93,28.93
T0258,22.7,28.93,28.93,28.93,28.93,28.93
T0259,22.7,28.93,28.93,28.93,28.93,28.93
T0260,22.7,28.93,28.93,28.93,28.93,28.93
