timestep,HOB_EL,HP_AMBIENT,HP_PROCESS,ELECTRIC_CHILLER,FREE_COOLING,HP_RECOVERY
T0113,17.9,21.0,21.0,21.0,21.0,21.0
T0114,17.9,21.0,21.0,21.0,21.0,21.0
T0115,20.2,26.5,26.5,26.5,26.5,26.5
T0116,20.2,26.5,26.5,26.5,26.5,26.5
T0117,17.9,21.0,21.0,21.0,21.0,21.0
T0118,17.9,21.0,21.0,21.0,21.0,21.0
T0119,17.9,21.0,21.0,21.0,21.0,21.0
T0120,14.5,14.7,14.7,14.7,14.7,14.7
T0121,14.5,14.7,14.7,14.7,14.7,14.7
T0122,14.5,14.7,14.7,14.7,14.7,14.7
T0123,14.5,14.7,14.7,14.7,14.7,14.7
T0124,14.5,14.7,14.7,14.7,14.7,14.7
T0125,14.5,14.7,14.7,14.7,14.7,14.7
T0126,14.5,14.7,14.7,14.7,14.7,14.7
T0127,14.5,14.7,14.7,14.7,14.7,14.7
T0128,17.9,21.0,21.0,21.0,21.0,21.0
T0129,17.9,21.0,21.0,21.0,21.0,21.0
T0130,20.2,26.5,26.5,26.5,26.5,26.5
T0131,20.2,26.5,26.5,26.5,26.5,26.5
T0132,17.9,21.0,21.0,21.0,21.0,21.0
T0133,17.9,21.0,21.0,21.0,21.0,21.0
T0134,17.9,21.0,21.0,21.0,21.0,21.0
T0135,17.9,21.0,21.0,21.0,21.0,21.0
T0136,17.9,21.0,21.0,21.0,21.0,21.0
T0137,17.9,21.0,21.0,21.0,21.0,21.0
T0138,17.9,21.0,21.0,21.0,21.0,21.0
T0139,20.2,26.5,26.5,26.5,26.5,26.5
T0140,20.2,26.5,26.5,26.5,26.5,26.5
T0141,17.9,21.0,21.0,21.0,21.0,21.0
T0142,17.9,21.0,21.0,21.0,21.0,21.0
T0143,17.9,21.0,21.0,21.0,21.0,21.0
T0144,14.5,14.7,14.7,14.7,14.7,14.7
T0145,14.5,14.7,14.7,14.7,14.7,14.7
T0146,14.5,14.7,14.7,14.7,14.7,14.7
T0147,14.5,14.7,14.7,14.7,14.7,14.7
T0148,14.5,14.7,14.7,14.7,14.7,14.7
T0149,14.5,14.7,14.7,14.7,14.7,14.7
T0150,14.5,14.7,14.7,14.7,14.7,14.7
T0151,14.5,14.7,14.7,14.7,14.7,14.7
T0152,17.9,21.0,21.0,21.0,21.0,21.0
T0153,17.9,21.0,21.0,21.0,21.0,21.0
T0154,20.2,26.5,26.5,26.5,26.5,26.5
T0155,20.2,26.5,26.5,26.5,26.5,26.5
T0156,17.9,21.0,21.0,21.0,21.0,21.0
T0157,17.9,21.0,21.0,21.0,21.0,21.0
T0158,17.9,21.0,21.0,21.0,21.0,21.0
T0159,17.9,21.0,21.0,21.0,21.0,21.0
T0160,17.9,21.0,21.0,21.0,21.0,21.0
T0161,17.9,21.0,21.0,21.0,21.0,21.0
T0162,17.9,21.0,21.0,21.0,21.0,21.0
T0163,20.2,26.5,26.5,26.5,26.5,26.5
T0164,20.2,26.5,26.5,26.5,26.5,26.5
T0165,17.9,21.0,21.0,21.0,21.0,21.0
T0166,17.9,21.0,21.0,21.0,21.0,21.0
T0167,17.9,21.0,21.0,21.0,21.0,21.0
T0168,14.5,14.7,14.7,14.7,14.7,14.7
T0169,14.5,14.7,14.7,14.7,14.7,14.7
T0170,14.5,14.7,14.7,14.7,14.7,14.7
T0171,14.5,14.7,14.7,14.7,14.7,14.7
T0172,14.5,14.7,14.7,14.7,14.7,14.7
T0173,14.5,14.7,14.7,14.7,14.7,14.7
T0174,14.5,14.7,14.7,14.7,14.7,14.7
T0175,14.5,14.7,14.7,14.7,14.7,14.7
T0176,17.9,21.0,21.0,21.0,21.0,21.0
T0177,17.9,21.0,21.0,21.0,21.0,21.0
T0178,20.2,26.5,26.5,26.5,26.5,26.5
T0179,20.2,26.5,26.5,26.5,26.5,26.5
T0180,17.9,21.0,21.0,21.0,21.0,21.0
T0181,17.9,21.0,21.0,21.0,21.0,21.0
T0182,17.9,21.0,21.0,21.0,21.0,21.0
T0183,17.9,21.0,21.0,21.0,21.0,21.0
T0184,17.9,21.0,21.0,21.0,21.0,21.0
T0185,17.9,21.0,21.0,21.0,21.0,21.0
T0186,17.9,21.0,21.0,21.0,21.0,21.0
T0187,20.2,26.5,26.5,26.5,26.5,26.5
T0188,20.2,26.5,26.5,26.5,26.5,26.5
T0189,17.9,21.0,21.0,21.0,21.0,21.0
T0190,17.9,21.0,21.0,21.0,21.0,21.0
T0191,17.9,21.0,21.0,21.0,21.0,21.0
T0192,14.5,14.7,14.7,14.7,14.7,14.7
T0193,14.5,14.7,14.7,14.7,14.7,14.7
T0194,14.5,14.7,14.7,14.7,14.7,14.7
T0195,14.5,14.7,14.7,14.7,14.7,14.7
T0196,14.5,14.7,14.7,14.7,14.7,14.7
T0197,14.5,14.7,14.7,14.7,14.7,14.7
T0198,14.5,14.7,14.7,14.7,14.7,14.7
T0199,14.5,14.7,14.7,14.7,14.7,14.7
T0200,17.9,21.0,21.0,21.0,21.0,21.0
T0201,17.9,21.0,21.0,21.0,21.0,21.0
T0202,20.2,26.5,26.5,26.5,26.5,26.5
T0203,20.2,26.5,26.5,26.5,26.5,26.5
T0204,17.9,21.0,21.0,21.0,21.0,21.0
T0205,17.9,21.0,21.0,21.0,21.0,21.0
T0206,17.9,21.0,21.0,21.0,21.0,21.0
T0207,17.9,21.0,21.0,21.0,21.0,21.0
T0208,17.9,21.0,21.0,21.0,21.0,21.0
T0209,17.9,21.0,21.0,21.0,21.0,21.0
T0210,17.9,21.0,21.0,21.0,21.0,21.0
T0211,20.2,26.5,26.5,26.5,26.5,26.5
T0212,20.2,26.5,26.5,26.5,26.5,26.5
T0213,17.9,21.0,21.0,21.0,21.0,21.0
T0214,17.9,21.0,21.0,21.0,21.0,21.0
T0215,17.9,21.0,21.0,21.0,21.0,21.0
T0216,14.5,14.7,14.7,14.7,14.7,14.7
T0217,14.5,14.7,14.7,14.7,14.7,14.7
T0218,14.5,14.7,14.7,14.7,14.7,14.7
T0219,14.5,14.7,14.7,14.7,14.7,14.7
T0220,14.5,14.7,14.7,14.7,14.7,14.7
T0221,14.5,14.7,14.7,14.7,14.7,14.7
T0222,14.5,14.7,14.7,14.7,14.7,14.7
T0223,14.5,14.7,14.7,14.7,14.7,14.7
T0224,17.9,21.0,21.0,21.0,21.0,21.0
T0225,17.9,21.0,21.0,21.0,21.0,21.0
T0226,20.2,26.5,26.5,26.5,26.5,26.5
T0227,20.2,26.5,26.5,26.5,26.5,26.5
T0228,17.9,21.0,21.0,21.0,21.0,21.0
T0229,17.9,21.0,21.0,21.0,21.0,21.0
T0230,17.9,21.0,21.0,21.0,21.0,21.0
T0231,17.9,21.0,21.0,21.0,21.0,21.0
T0232,17.9,21.0,21.0,21.0,21.0,21.0
T0233,17.9,21.0,21.0,21.0,21.0,21.0
T0234,17.9,21.0,21.0,21.0,21.0,21.0
T0235,20.2,26.5,26.5,26.5,26.5,26.5
T0236,20.2,26.5,26.5,26.5,26.5,26.5
T0237,17.9,21.0,21.0,21.0,21.0,21.0
T0238,17.9,21.0,21.0,21.0,21.0,21.0
T0239,17.9,21.0,21.0,21.0,21.0,21.0
T0240,14.5,14.7,14.7,14.7,14.7,14.7
T0241,14.5,14.7,14.7,14.7,14.7,14.7
T0242,14.5,14.7,14.7,14.7,14.7,14.7
T0243,14.5,14.7,14.7,14.7,14.7,14.7
T0244,14.5,14.7,14.7,14.7,14.7,14.7
T0245,14.5,14.7,14.7,14.7,14.7,14.7
T0246,14.5,14.7,14.7,14.7,14.7,14.7
T0247,14.5,14.7,14.7,14.7,14.7,14.7
T0248,17.9,21.0,21.0,21.0,21.0,21.0
T0249,17.9,21.0,21.0,21.0,21.0,21.0
T0250,20.2,26.5,26.5,26.5,26.5,26.5
T0251,20.2,26.5,26.5,26.5,26.5,26.5
T0252,17.9,21.0,21.0,21.0,21.0,21.0
T0253,17.9,21.0,21.0,21.0,21.0,21.0
T0254,17.9,21.0,21.0,21.0,21.0,21.0
T0255,17.9,21.0,21.0,21.0,21.0,21.0
T0256,17.9,21.0,21.0,21.0,21.0,21.0
T0257,17.9,21.0,21.0,21.0,21.0,21.0
T0258,17.9,21.0,21.0,21.0,21.0,21.0
T0259,20.2,26.5,26.5,26.5,26.5,26.5
T0260,20.2,26.5,26.5,26.5,26.5,26.5
T0261,17.9,21.0,21.0,21.0,21.0,21.0
T0262,17.9,21.0,21.0,21.0,21.0,21.0
T0263,17.9,21.0,21.0,21.0,21.0,21.0
T0264,14.5,14.7,14.7,14.7,14.7,14.7
T0265,14.5,14.7,14.7,14.7,14.7,14.7
T0266,14.5,14.7,14.7,14.7,14.7,14.7
T0267,14.5,14.7,14.7,14.7,14.7,14.7
T0268,14.5,14.7,14.7,14.7,14.7,14.7
T0269,14.5,14.7,14.7,14.7,14.7,14.7
T0270,14.5,14.7,14.7,14.7,14.7,14.7
T0271,14.5,14.7,14.7,14.7,14.7,14.7
T0272,17.9,21.0,21.0,21.0,21.0,21.0
T0273,17.9,21.0,21.0,21.0,21.0,21.0
T0274,20.2,26.5,26.5,26.5,26.5,26.5
T0275,20.2,26.5,26.5,26.5,26.5,26.5
T0276,17.9,21.0,21.0,21.0,21.0,21.0
T0277,17.9,21.0,21.0,21.0,21.0,21.0
T0278,17.9,21.0,21.0,21.0,21.0,21.0
T0279,17.9,21.0,21.0,21.0,21.0,21.0
T0280,17.9,21.0,21.0,21.0,21.0,21.0
T0281,17.9,21.0,21.0,21.0,21.0,21.0
T0282,17.9,21.0,21.0,21.0,21.0,21.0
T0283,20.2,26.5,26.5,26.5,26.5,26.5
T0284,20.2,26.5,26.5,26.5,26.5,26.5
T0285,17.9,21.0,21.0,21.0,21.0,21.0
T0286,17.9,21.0,21.0,21.0,21.0,21.0
T0287,17.9,21.0,21.0,21.0,21.0,21.0
T0288,14.5,14.7,14.7,14.7,14.7,14.7
