'electric chiller'
'free cooling'
'HP - waste heat'
'CHP - coal'
'CHP - natural gas'
'HOB - natural gas'
'CHP - biomass residues'
'CHP - wood chips'
'HOB - wood pellets'
'HP - seawater'
'HP - air'
'HOB - electricity'
