T0001,31.77
T0002,31.57
T0003,31.28
T0004,30.85
T0005,30.14
T0006,30.17
T0007,30
T0008,30.63
T0009,30.59
T0010,30.27
T0011,30.34
T0012,30.59
T0013,30.04
T0014,30.6
T0015,31.09
T0016,31.53
T0017,31.78
T0018,31.64
T0019,31.44
T0020,31.35
T0021,31.07
T0022,30.96
T0023,30.61
T0024,30.78
T0025,30.64
T0026,30.43
T0027,28.79
T0028,28.42
T0029,28.75
T0030,34.16
T0031,42.07
T0032,44.89
T0033,45.26
T0034,45.57
T0035,45.09
T0036,45.16
T0037,44.9
T0038,44.06
T0039,44.84
T0040,44.4
T0041,46.05
T0042,46.72
T0043,45.26
T0044,39.32
T0045,30.1
T0046,29.71
T0047,24.99
T0048,18.93
T0049,9.98
T0050,1.53
T0051,0.14
T0052,0.85
T0053,9.92
T0054,24.48
T0055,26.68
T0056,28.81
T0057,29.28
T0058,28.85
T0059,31.8
T0060,37.94
T0061,37.9
T0062,38.11
T0063,37.91
T0064,38.44
T0065,40.47
T0066,41.35
T0067,33.37
T0068,28.89
T0069,27.7
T0070,25.7
T0071,22.04
T0072,21.73
T0073,15.95
T0074,16.23
T0075,6.45
T0076,3.83
T0077,0.12
T0078,0.07
T0079,19.07
T0080,17.49
T0081,23.98
T0082,8.8
T0083,17.95
T0084,19.5
T0085,13.74
T0086,17.42
T0087,20.38
T0088,25.08
T0089,28.88
T0090,32.02
T0091,35.35
T0092,29.98
T0093,34.46
T0094,30.09
T0095,37.95
T0096,33.1
T0097,32.28
T0098,31.18
T0099,30.1
T0100,29.96
T0101,29.88
T0102,30.38
T0103,31.15
T0104,32.09
T0105,34.27
T0106,37.53
T0107,38.99
T0108,38.15
T0109,35.37
T0110,34.44
T0111,36.1
T0112,40.59
T0113,31.53
T0114,31.1
T0115,30.42
T0116,29.87
T0117,29.61
T0118,29.46
T0119,26.68
T0120,26.42
T0121,26.5
T0122,29.08
T0123,27.72
T0124,27.03
T0125,27.62
T0126,33.18
T0127,34.21
T0128,35.75
T0129,32.52
T0130,32.01
T0131,31.23
T0132,31.19
T0133,31.08
T0134,31.21
T0135,31.3
T0136,33.58
T0137,34.05
T0138,31.31
T0139,30.95
T0140,30.58
T0141,30.28
T0142,29.46
T0143,29.07
T0144,28.28
T0145,28.34
T0146,28.47
T0147,28.11
T0148,28.7
T0149,28.8
T0150,30.62
T0151,37.6
T0152,46.99
T0153,47.07
T0154,47.06
T0155,46.98
T0156,42.03
T0157,42.37
T0158,33.05
T0159,33.05
T0160,37
T0161,33.04
T0162,30.18
T0163,29.46
T0164,28.63
T0165,27.98
T0166,26.93
T0167,24.21
T0168,18.95
T0169,4.96
T0170,0.1
T0171,0.11
T0172,1.75
T0173,20.74
T0174,25.57
T0175,26.99
T0176,27.34
T0177,27.92
T0178,28.03
T0179,28.02
T0180,28
T0181,27.98
T0182,28.06
T0183,28.44
T0184,28.88
T0185,39.07
T0186,46.71
T0187,36.12
T0188,29.03
T0189,29.75
T0190,29.88
T0191,27.93
T0192,25.21
T0193,25.34
T0194,27.74
T0195,32.11
T0196,29
T0197,28.1
T0198,36.17
T0199,46.5
T0200,47.85
T0201,45.68
T0202,43.61
T0203,40
T0204,36.17
T0205,32.64
T0206,31.43
T0207,31.1
T0208,32.59
T0209,42.85
T0210,40.72
T0211,28.33
T0212,27.64
T0213,27.55
T0214,26.9
T0215,26.41
T0216,26.07
T0217,26.01
T0218,25.81
T0219,25.89
T0220,26.2
T0221,26.95
T0222,28.95
T0223,43.29
T0224,47.4
T0225,40.63
T0226,36.26
T0227,32.05
T0228,28.64
T0229,28.45
T0230,28.23
T0231,28.85
T0232,35.55
T0233,43.92
T0234,45.61
T0235,30.01
T0236,27.6
T0237,35.58
T0238,36.34
T0239,26.07
T0240,35.01
T0241,34
T0242,26.15
T0243,25.75
T0244,25.41
T0245,25.32
T0246,25.46
T0247,25.41
T0248,25.67
T0249,25.93
T0250,25.85
T0251,25.54
T0252,25.19
T0253,25.01
T0254,24.87
T0255,25.17
T0256,25.55
T0257,25.65
T0258,25.42
T0259,24.78
T0260,24.11
T0261,23.16
T0262,21.33
T0263,19.31
T0264,20.11
T0265,19.37
T0266,18.36
T0267,18.34
T0268,18.16
T0269,18.66
T0270,17.39
T0271,18.22
T0272,22.1
T0273,23.93
T0274,24.23
T0275,24.84
T0276,24.45
T0277,24.41
T0278,24.94
T0279,25.27
T0280,25.69
T0281,26.5
T0282,26.68
T0283,26.16
T0284,25.62
T0285,25.53
T0286,25.48
T0287,24.94
T0288,22.52
T0289,23.98
T0290,25.23
T0291,24.85
T0292,25.01
T0293,26.48
T0294,29.68
T0295,40.97
T0296,47.7
T0297,48.32
T0298,47.72
T0299,46.07
T0300,45.87
T0301,44.58
T0302,43.36
T0303,44.56
T0304,42.63
T0305,45.68
T0306,44.19
T0307,27.39
T0308,26.48
T0309,26.04
T0310,25.34
T0311,23.4
T0312,22.21
T0313,17.14
T0314,12.31
T0315,12.76
T0316,18.5
T0317,20.31
T0318,24.63
T0319,27.13
T0320,25.84
T0321,25.79
T0322,25.74
T0323,25.63
T0324,25.51
T0325,25.6
T0326,25.76
T0327,26.2
T0328,26.55
T0329,26.88
T0330,26.45
T0331,25.9
T0332,25.12
T0333,23.82
T0334,22.3
T0335,12.4
T0336,16.14
T0337,5.06
T0338,0.11
T0339,1.77
T0340,7.13
T0341,18.66
T0342,24.38
T0343,25.79
T0344,25.48
T0345,25.51
T0346,25.34
T0347,24.98
T0348,25.05
T0349,25.12
T0350,25.24
T0351,25.94
T0352,26.63
T0353,26.89
T0354,26.42
T0355,25.7
T0356,25.13
T0357,24.85
T0358,23.97
T0359,22.55
T0360,21.58
T0361,21.32
T0362,21.65
T0363,22.18
T0364,22.99
T0365,23.72
T0366,24.47
T0367,25
T0368,25.38
T0369,25.33
T0370,25.27
T0371,25.18
T0372,25.07
T0373,25.09
T0374,25.18
T0375,25.36
T0376,45.34
T0377,43.54
T0378,42.11
T0379,29.34
T0380,24.74
T0381,24.51
T0382,24.04
T0383,23.13
T0384,22.92
T0385,22.61
T0386,22.19
T0387,22.39
T0388,23.26
T0389,23.61
T0390,24.25
T0391,24.76
T0392,25.04
T0393,25.04
T0394,25.09
T0395,25.1
T0396,25.09
T0397,25.1
T0398,25.11
T0399,25.23
T0400,25.62
T0401,40.62
T0402,42.09
T0403,35.52
T0404,34.17
T0405,24.7
T0406,24.48
T0407,24.06
T0408,22.15
T0409,23.02
T0410,22.24
T0411,22.61
T0412,22.57
T0413,22.51
T0414,22.31
T0415,22.74
T0416,23.18
T0417,23.58
T0418,23.85
T0419,23.76
T0420,23.62
T0421,23.47
T0422,23.52
T0423,23.84
T0424,24.07
T0425,24.34
T0426,24.13
T0427,23.82
T0428,23.39
T0429,23.14
T0430,23.13
T0431,22.66
T0432,22.29
T0433,21.91
T0434,21.69
T0435,21.53
T0436,21.61
T0437,21.9
T0438,22.15
T0439,28.7
T0440,30.72
T0441,34.36
T0442,34.36
T0443,33.64
T0444,32.56
T0445,29.9
T0446,29.92
T0447,30.86
T0448,33.07
T0449,42.98
T0450,44.24
T0451,43.89
T0452,41.14
T0453,35.86
T0454,29.55
T0455,28.62
T0456,22.84
T0457,22.53
T0458,22.4
T0459,22.28
T0460,22.68
T0461,33.41
T0462,45.63
T0463,55.97
T0464,60
T0465,57.01
T0466,50.63
T0467,47.01
T0468,42.9
T0469,41.98
T0470,42.08
T0471,43.87
T0472,44.9
T0473,46.74
T0474,43.92
T0475,34.08
T0476,22.48
T0477,21.28
T0478,20.64
T0479,17.92
T0480,17.93
T0481,17.88
T0482,17.67
T0483,17.75
T0484,19.4
T0485,19.66
T0486,20.78
T0487,24.13
T0488,28.18
T0489,21.97
T0490,21.94
T0491,21.88
T0492,21.99
T0493,21.97
T0494,22
T0495,22.12
T0496,40.09
T0497,45.22
T0498,42
T0499,22
T0500,21.14
T0501,20.89
T0502,20.25
T0503,18.69
T0504,15.24
T0505,14.43
T0506,13.73
T0507,15.1
T0508,17.11
T0509,19.99
T0510,26.06
T0511,45.43
T0512,54.28
T0513,49.29
T0514,45.16
T0515,43.94
T0516,41.79
T0517,43.45
T0518,49.96
T0519,52.4
T0520,55.63
T0521,62.07
T0522,65.09
T0523,59.58
T0524,52.52
T0525,47.01
