,AMV1,AMV4,AVV1,AVV2,HCV7,HCV8,SMV1_SMV7,KKV8,ARC,ARGO5,ARGO6,VF5,VF6,HOB_electric,HOB_biogas,HOB_fueloil,HOB_gasoil,HOB_natgas,HOB_pellets,HP_air
T0034,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,55.21327308,68.35,58.795,74.291,79.969,41.44,55.213
T0035,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,57.07274129,68.35,58.795,74.291,79.969,41.44,57.073
T0036,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,55.09460333,68.35,58.795,74.291,79.969,41.44,55.095
T0037,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,54.71249373,68.35,58.795,74.291,79.969,41.44,54.712
T0038,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,53.74664182,68.35,58.795,74.291,79.969,41.44,53.747
T0039,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,54.13066999,68.35,58.795,74.291,79.969,41.44,54.131
T0040,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,53.4857283,68.35,58.795,74.291,79.969,41.44,53.486
T0041,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,55.12736895,68.35,58.795,74.291,79.969,41.44,55.127
T0042,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,55.29493435,68.35,58.795,74.291,79.969,41.44,55.295
T0043,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,53.63593554,68.35,58.795,74.291,79.969,41.44,53.636
T0044,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,47.50352635,68.35,58.795,74.291,79.969,41.44,47.504
T0045,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.36262933,68.35,58.795,74.291,79.969,41.44,38.363
