,AMV1,AMV4,AVV1,AVV2,HCV7,HCV8,SMV1_SMV7,KKV8,ARC,ARGO5,ARGO6,VF5,VF6,HOB_electric,HOB_biogas,HOB_fueloil,HOB_gasoil,HOB_natgas,HOB_pellets,HP_air
T2216,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,23.44373714,68.35,58.795,74.291,79.969,41.44,23.444
T2217,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,15.96181044,68.35,58.795,74.291,79.969,41.44,15.962
T2218,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,9.234264048,68.35,58.795,74.291,79.969,41.44,9.234
T2219,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,9.204839564,68.35,58.795,74.291,79.969,41.44,9.205
T2220,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,8.50716002,68.35,58.795,74.291,79.969,41.44,8.507
T2221,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,7.683151068,68.35,58.795,74.291,79.969,41.44,7.683
T2222,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,7.687752885,68.35,58.795,74.291,79.969,41.44,7.688
T2223,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,12.02531127,68.35,58.795,74.291,79.969,41.44,12.025
T2224,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,23.70881866,68.35,58.795,74.291,79.969,41.44,23.709
T2225,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,29.65004694,68.35,58.795,74.291,79.969,41.44,29.65
T2226,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,33.27005643,68.35,58.795,74.291,79.969,41.44,33.27
T2227,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.24453537,68.35,58.795,74.291,79.969,41.44,38.245
T2228,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,32.84788903,68.35,58.795,74.291,79.969,41.44,32.848
T2229,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,34.7387562,68.35,58.795,74.291,79.969,41.44,34.739
T2230,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,34.13209553,68.35,58.795,74.291,79.969,41.44,34.132
T2231,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,31.1599125,68.35,58.795,74.291,79.969,41.44,31.16
T2232,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,29.64007927,68.35,58.795,74.291,79.969,41.44,29.64
T2233,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,27.66962804,68.35,58.795,74.291,79.969,41.44,27.67
T2234,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,27.14512591,68.35,58.795,74.291,79.969,41.44,27.145
T2235,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,26.85491011,68.35,58.795,74.291,79.969,41.44,26.855
T2236,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,26.61061368,68.35,58.795,74.291,79.969,41.44,26.611
T2237,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,28.82627703,68.35,58.795,74.291,79.969,41.44,28.826
T2238,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,31.30168475,68.35,58.795,74.291,79.969,41.44,31.302
T2239,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,29.73871692,68.35,58.795,74.291,79.969,41.44,29.739
T2240,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,27.35898818,68.35,58.795,74.291,79.969,41.44,27.359
T2241,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,21.99341136,68.35,58.795,74.291,79.969,41.44,21.993
T2242,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,19.41622499,68.35,58.795,74.291,79.969,41.44,19.416
T2243,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,21.26956861,68.35,58.795,74.291,79.969,41.44,21.27
T2244,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,17.84938803,68.35,58.795,74.291,79.969,41.44,17.849
T2245,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,17.51510062,68.35,58.795,74.291,79.969,41.44,17.515
T2246,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,16.47471769,68.35,58.795,74.291,79.969,41.44,16.475
T2247,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,23.21538761,68.35,58.795,74.291,79.969,41.44,23.215
T2248,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,30.37185149,68.35,58.795,74.291,79.969,41.44,30.372
T2249,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.77953913,68.35,58.795,74.291,79.969,41.44,38.78
T2250,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,48.14396635,68.35,58.795,74.291,79.969,41.44,48.144
T2251,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,42.45480725,68.35,58.795,74.291,79.969,41.44,42.455
T2252,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,33.03210959,68.35,58.795,74.291,79.969,41.44,33.032
T2253,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,30.00351581,68.35,58.795,74.291,79.969,41.44,30.004
T2254,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,24.50484568,68.35,58.795,74.291,79.969,41.44,24.505
T2255,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,25.62697392,68.35,58.795,74.291,79.969,41.44,25.627
T2256,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,18.64010228,68.35,58.795,74.291,79.969,41.44,18.64
T2257,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,16.7937503,68.35,58.795,74.291,79.969,41.44,16.794
T2258,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,16.60718169,68.35,58.795,74.291,79.969,41.44,16.607
T2259,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,14.41047004,68.35,58.795,74.291,79.969,41.44,14.41
T2260,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,12.17911688,68.35,58.795,74.291,79.969,41.44,12.179
T2261,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,11.95845109,68.35,58.795,74.291,79.969,41.44,11.958
T2262,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,11.53739137,68.35,58.795,74.291,79.969,41.44,11.537
T2263,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,14.34358937,68.35,58.795,74.291,79.969,41.44,14.344
T2264,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,13.53357631,68.35,58.795,74.291,79.969,41.44,13.534
T2265,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,10.62201938,68.35,58.795,74.291,79.969,41.44,10.622
T2266,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,7.613694594,68.35,58.795,74.291,79.969,41.44,7.614
T2267,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,6.564092901,68.35,58.795,74.291,79.969,41.44,6.564
T2268,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,5.660923546,68.35,58.795,74.291,79.969,41.44,5.661
T2269,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,1.443855448,68.35,58.795,74.291,79.969,41.44,1.444
T2270,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,-5.390657997,68.35,58.795,74.291,79.969,41.44,-5.391
T2271,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,-0.894220687,68.35,58.795,74.291,79.969,41.44,-0.894
T2272,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,9.159832658,68.35,58.795,74.291,79.969,41.44,9.16
T2273,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,21.65370073,68.35,58.795,74.291,79.969,41.44,21.654
T2274,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,24.94162941,68.35,58.795,74.291,79.969,41.44,24.942
T2275,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,22.64720225,68.35,58.795,74.291,79.969,41.44,22.647
T2276,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,14.86678528,68.35,58.795,74.291,79.969,41.44,14.867
T2277,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,15.97145649,68.35,58.795,74.291,79.969,41.44,15.971
T2278,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,12.70082894,68.35,58.795,74.291,79.969,41.44,12.701
T2279,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,11.03241784,68.35,58.795,74.291,79.969,41.44,11.032
T2280,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,8.402751681,68.35,58.795,74.291,79.969,41.44,8.403
T2281,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,11.74446823,68.35,58.795,74.291,79.969,41.44,11.744
T2282,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,8.627689333,68.35,58.795,74.291,79.969,41.44,8.628
T2283,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,8.394586347,68.35,58.795,74.291,79.969,41.44,8.395
T2284,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,9.67542962,68.35,58.795,74.291,79.969,41.44,9.675
T2285,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,16.15009344,68.35,58.795,74.291,79.969,41.44,16.15
T2286,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,26.02893955,68.35,58.795,74.291,79.969,41.44,26.029
T2287,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,26.36625747,68.35,58.795,74.291,79.969,41.44,26.366
T2288,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,23.37885739,68.35,58.795,74.291,79.969,41.44,23.379
T2289,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,19.35214146,68.35,58.795,74.291,79.969,41.44,19.352
T2290,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,15.63396351,68.35,58.795,74.291,79.969,41.44,15.634
T2291,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,18.72376405,68.35,58.795,74.291,79.969,41.44,18.724
T2292,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,15.31247011,68.35,58.795,74.291,79.969,41.44,15.312
T2293,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,14.83706006,68.35,58.795,74.291,79.969,41.44,14.837
T2294,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,16.99082413,68.35,58.795,74.291,79.969,41.44,16.991
T2295,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,20.51604016,68.35,58.795,74.291,79.969,41.44,20.516
T2296,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,27.22570094,68.35,58.795,74.291,79.969,41.44,27.226
T2297,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.08779614,68.35,58.795,74.291,79.969,41.44,39.088
T2298,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,51.35644047,68.35,58.795,74.291,79.969,41.44,51.356
T2299,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,52.14037825,68.35,58.795,74.291,79.969,41.44,52.14
T2300,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,36.63831716,68.35,58.795,74.291,79.969,41.44,36.638
T2301,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,33.93571722,68.35,58.795,74.291,79.969,41.44,33.936
T2302,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,29.47190869,68.35,58.795,74.291,79.969,41.44,29.472
T2303,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,24.85624564,68.35,58.795,74.291,79.969,41.44,24.856
T2304,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,24.69708723,68.35,58.795,74.291,79.969,41.44,24.697
T2305,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,25.1275112,68.35,58.795,74.291,79.969,41.44,25.128
T2306,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,19.98097182,68.35,58.795,74.291,79.969,41.44,19.981
T2307,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,26.74062315,68.35,58.795,74.291,79.969,41.44,26.741
T2308,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,29.10961928,68.35,58.795,74.291,79.969,41.44,29.11
T2309,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,37.65634269,68.35,58.795,74.291,79.969,41.44,37.656
T2310,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,40.04843978,68.35,58.795,74.291,79.969,41.44,40.048
T2311,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.86464076,68.35,58.795,74.291,79.969,41.44,39.865
T2312,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,30.12341601,68.35,58.795,74.291,79.969,41.44,30.123
T2313,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,26.00539286,68.35,58.795,74.291,79.969,41.44,26.005
T2314,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,23.31381809,68.35,58.795,74.291,79.969,41.44,23.314
T2315,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,22.65525422,68.35,58.795,74.291,79.969,41.44,22.655
T2316,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,18.18772512,68.35,58.795,74.291,79.969,41.44,18.188
T2317,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,17.10881671,68.35,58.795,74.291,79.969,41.44,17.109
T2318,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,20.38070537,68.35,58.795,74.291,79.969,41.44,20.381
T2319,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,23.90572365,68.35,58.795,74.291,79.969,41.44,23.906
T2320,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,34.24217532,68.35,58.795,74.291,79.969,41.44,34.242
T2321,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,46.73584043,68.35,58.795,74.291,79.969,41.44,46.736
T2322,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,57.15287788,68.35,58.795,74.291,79.969,41.44,57.153
T2323,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,51.60865095,68.35,58.795,74.291,79.969,41.44,51.609
T2324,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,43.59445934,68.35,58.795,74.291,79.969,41.44,43.594
T2325,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.41156084,68.35,58.795,74.291,79.969,41.44,38.412
T2326,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,28.76818348,68.35,58.795,74.291,79.969,41.44,28.768
T2327,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,33.5262818,68.35,58.795,74.291,79.969,41.44,33.526
T2328,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,32.30689532,68.35,58.795,74.291,79.969,41.44,32.307
T2329,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,29.77321796,68.35,58.795,74.291,79.969,41.44,29.773
T2330,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,29.14730807,68.35,58.795,74.291,79.969,41.44,29.147
T2331,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,27.87515515,68.35,58.795,74.291,79.969,41.44,27.875
T2332,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,29.67288609,68.35,58.795,74.291,79.969,41.44,29.673
T2333,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,35.86475874,68.35,58.795,74.291,79.969,41.44,35.865
T2334,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.38201646,68.35,58.795,74.291,79.969,41.44,38.382
T2335,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,40.64108212,68.35,58.795,74.291,79.969,41.44,40.641
T2336,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.25056226,68.35,58.795,74.291,79.969,41.44,38.251
T2337,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,31.09484629,68.35,58.795,74.291,79.969,41.44,31.095
T2338,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,28.15870925,68.35,58.795,74.291,79.969,41.44,28.159
T2339,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,24.9001724,68.35,58.795,74.291,79.969,41.44,24.9
T2340,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,24.26006854,68.35,58.795,74.291,79.969,41.44,24.26
T2341,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,24.44405867,68.35,58.795,74.291,79.969,41.44,24.444
T2342,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,26.93264151,68.35,58.795,74.291,79.969,41.44,26.933
T2343,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,28.99772139,68.35,58.795,74.291,79.969,41.44,28.998
T2344,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,37.41496201,68.35,58.795,74.291,79.969,41.44,37.415
T2345,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,48.93886062,68.35,58.795,74.291,79.969,41.44,48.939
T2346,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,62.28427542,68.35,58.795,74.291,79.969,41.44,62.284
T2347,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,64.46180501,68.35,58.795,74.291,79.969,41.44,64.462
T2348,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,49.83381601,68.35,58.795,74.291,79.969,41.44,49.834
T2349,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,37.66816149,68.35,58.795,74.291,79.969,41.44,37.668
T2350,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,32.64341647,68.35,58.795,74.291,79.969,41.44,32.643
T2351,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,28.12404529,68.35,58.795,74.291,79.969,41.44,28.124
T2352,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,26.87448551,68.35,58.795,74.291,79.969,41.44,26.874
T2353,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,25.9792952,68.35,58.795,74.291,79.969,41.44,25.979
T2354,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,26.25741279,68.35,58.795,74.291,79.969,41.44,26.257
T2355,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,15.17489443,68.35,58.795,74.291,79.969,41.44,15.175
T2356,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,27.48608006,68.35,58.795,74.291,79.969,41.44,27.486
T2357,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,32.98622255,68.35,58.795,74.291,79.969,41.44,32.986
T2358,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,35.64784872,68.35,58.795,74.291,79.969,41.44,35.648
T2359,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,34.68428946,68.35,58.795,74.291,79.969,41.44,34.684
T2360,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,29.68274675,68.35,58.795,74.291,79.969,41.44,29.683
T2361,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,27.50436511,68.35,58.795,74.291,79.969,41.44,27.504
T2362,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,26.29276758,68.35,58.795,74.291,79.969,41.44,26.293
T2363,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,24.04053762,68.35,58.795,74.291,79.969,41.44,24.041
T2364,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,22.08562739,68.35,58.795,74.291,79.969,41.44,22.086
T2365,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,17.99001873,68.35,58.795,74.291,79.969,41.44,17.99
T2366,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,21.185966,68.35,58.795,74.291,79.969,41.44,21.186
T2367,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,22.69878761,68.35,58.795,74.291,79.969,41.44,22.699
