,AMV3,AVV1,AVV2,AMV1,AMV4,ARC,ARGO5,ARGO6,HCV7,HCV8,KKV7,KKV8,VF5,VF6,HOB_BG,HOB_EL,HOB_FO,HOB_GO,HOB_NG,HOB_WP,HOB_WW,EH,HP
T0028,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,36.99,29.60,47.22,22.32,34.92,12.07,0.00,36.99
T0029,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,37.66,29.60,47.22,22.32,34.92,12.07,0.00,37.66
T0030,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,44.76,29.60,47.22,22.32,34.92,12.07,0.00,44.76
T0031,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,52.99,29.60,47.22,22.32,34.92,12.07,0.00,52.99
T0032,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,54.91,29.60,47.22,22.32,34.92,12.07,0.00,54.91
T0033,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,55.36,29.60,47.22,22.32,34.92,12.07,0.00,55.36
T0034,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,55.21,29.60,47.22,22.32,34.92,12.07,0.00,55.21
T0035,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,57.07,29.60,47.22,22.32,34.92,12.07,0.00,57.07
T0036,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,55.10,29.60,47.22,22.32,34.92,12.07,0.00,55.10
T0037,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,54.71,29.60,47.22,22.32,34.92,12.07,0.00,54.71
T0038,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,53.75,29.60,47.22,22.32,34.92,12.07,0.00,53.75
T0039,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,54.13,29.60,47.22,22.32,34.92,12.07,0.00,54.13
T0040,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,53.49,29.60,47.22,22.32,34.92,12.07,0.00,53.49
T0041,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,55.13,29.60,47.22,22.32,34.92,12.07,0.00,55.13
T0042,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,55.30,29.60,47.22,22.32,34.92,12.07,0.00,55.30
T0043,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,53.64,29.60,47.22,22.32,34.92,12.07,0.00,53.64
T0044,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,47.50,29.60,47.22,22.32,34.92,12.07,0.00,47.50
T0045,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.36,29.60,47.22,22.32,34.92,12.07,0.00,38.36
T0046,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,37.92,29.60,47.22,22.32,34.92,12.07,0.00,37.92
T0047,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,33.10,29.60,47.22,22.32,34.92,12.07,0.00,33.10
T0048,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,26.88,29.60,47.22,22.32,34.92,12.07,0.00,26.88
T0049,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,17.78,29.60,47.22,22.32,34.92,12.07,0.00,17.78
T0050,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,9.51,29.60,47.22,22.32,34.92,12.07,0.00,9.51
T0051,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,8.21,29.60,47.22,22.32,34.92,12.07,0.00,8.21
T0052,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,9.03,29.60,47.22,22.32,34.92,12.07,0.00,9.03
T0053,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,18.49,29.60,47.22,22.32,34.92,12.07,0.00,18.49
T0054,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,33.07,29.60,47.22,22.32,34.92,12.07,0.00,33.07
T0055,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,35.55,29.60,47.22,22.32,34.92,12.07,0.00,35.55
T0056,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.02,29.60,47.22,22.32,34.92,12.07,0.00,38.02
T0057,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.23,29.60,47.22,22.32,34.92,12.07,0.00,39.23
T0058,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.98,29.60,47.22,22.32,34.92,12.07,0.00,38.98
T0059,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,42.50,29.60,47.22,22.32,34.92,12.07,0.00,42.50
T0060,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,48.34,29.60,47.22,22.32,34.92,12.07,0.00,48.34
T0061,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,48.28,29.60,47.22,22.32,34.92,12.07,0.00,48.28
T0062,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,50.26,29.60,47.22,22.32,34.92,12.07,0.00,50.26
T0063,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,51.21,29.60,47.22,22.32,34.92,12.07,0.00,51.21
T0064,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,52.11,29.60,47.22,22.32,34.92,12.07,0.00,52.11
T0065,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,54.12,29.60,47.22,22.32,34.92,12.07,0.00,54.12
T0066,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,54.54,29.60,47.22,22.32,34.92,12.07,0.00,54.54
T0067,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,44.42,29.60,47.22,22.32,34.92,12.07,0.00,44.42
T0068,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.15,29.60,47.22,22.32,34.92,12.07,0.00,39.15
T0069,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,36.59,29.60,47.22,22.32,34.92,12.07,0.00,36.59
T0070,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,34.28,29.60,47.22,22.32,34.92,12.07,0.00,34.28
T0071,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,30.60,29.60,47.22,22.32,34.92,12.07,0.00,30.60
T0072,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,30.69,29.60,47.22,22.32,34.92,12.07,0.00,30.69
T0073,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,24.76,29.60,47.22,22.32,34.92,12.07,0.00,24.76
T0074,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,25.22,29.60,47.22,22.32,34.92,12.07,0.00,25.22
T0075,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,15.27,29.60,47.22,22.32,34.92,12.07,0.00,15.27
T0076,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,12.80,29.60,47.22,22.32,34.92,12.07,0.00,12.80
T0077,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,9.27,29.60,47.22,22.32,34.92,12.07,0.00,9.27
T0078,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,9.09,29.60,47.22,22.32,34.92,12.07,0.00,9.09
T0079,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,27.42,29.60,47.22,22.32,34.92,12.07,0.00,27.42
T0080,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,25.47,29.60,47.22,22.32,34.92,12.07,0.00,25.47
T0081,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,31.72,29.60,47.22,22.32,34.92,12.07,0.00,31.72
T0082,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,16.89,29.60,47.22,22.32,34.92,12.07,0.00,16.89
T0083,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,25.61,29.60,47.22,22.32,34.92,12.07,0.00,25.61
T0084,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,26.83,29.60,47.22,22.32,34.92,12.07,0.00,26.83
T0085,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,21.15,29.60,47.22,22.32,34.92,12.07,0.00,21.15
T0086,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,24.81,29.60,47.22,22.32,34.92,12.07,0.00,24.81
T0087,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,28.22,29.60,47.22,22.32,34.92,12.07,0.00,28.22
T0088,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,33.17,29.60,47.22,22.32,34.92,12.07,0.00,33.17
T0089,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,36.84,29.60,47.22,22.32,34.92,12.07,0.00,36.84
