,'OMV','SOC capacity','throughput ratio','throughput efficiency','self-discharge factor','SOC ratio end','SOC ratio min','SOC ratio max'
PCM,0.000001,-,0.04,1,0,0.5,0,1
WT,0.000001,-,0.16667,1,0,0.5,0,1
