T,value
T0001,85.35560910004715
T0002,85.35560910004715
T0003,85.35560910004715
T0004,85.35560910004715
T0005,85.35560910004715
T0006,85.35560910004715
T0007,85.35560910004715
T0008,85.35560910004715
T0009,85.35560910004715
T0010,85.35560910004715
T0011,85.35560910004715
T0012,85.35560910004715
T0013,85.35560910004715
T0014,85.35560910004715
T0015,85.35560910004715
T0016,85.35560910004715
T0017,85.35560910004715
T0018,85.35560910004715
T0019,85.35560910004715
T0020,85.35560910004715
T0021,85.35560910004715
T0022,85.35560910004715
T0023,85.35560910004715
T0024,85.35560910004715
T0025,85.35560910004715
T0026,85.35560910004715
T0027,85.35560910004715
T0028,85.35560910004715
T0029,85.35560910004715
T0030,85.35560910004715
T0031,85.35560910004715
T0032,85.35560910004715
T0033,85.35560910004715
T0034,85.35560910004715
T0035,85.35560910004715
T0036,85.35560910004715
T0037,85.35560910004715
T0038,85.35560910004715
T0039,85.35560910004715
T0040,85.35560910004715
T0041,85.35560910004715
T0042,85.35560910004715
T0043,85.35560910004715
T0044,85.35560910004715
T0045,85.35560910004715
T0046,85.35560910004715
T0047,85.35560910004715
T0048,85.35560910004715
T0049,85.35560910004715
T0050,85.35560910004715
T0051,85.35560910004715
T0052,85.35560910004715
T0053,85.35560910004715
T0054,85.35560910004715
T0055,85.35560910004715
T0056,85.35560910004715
T0057,85.35560910004715
T0058,85.35560910004715
T0059,85.35560910004715
T0060,85.35560910004715
T0061,85.35560910004715
T0062,85.35560910004715
T0063,85.35560910004715
T0064,85.35560910004715
T0065,85.35560910004715
T0066,85.35560910004715
T0067,85.35560910004715
T0068,85.35560910004715
T0069,85.35560910004715
T0070,85.35560910004715
T0071,85.35560910004715
T0072,85.35560910004715
T0073,85.35560910004715
T0074,85.35560910004715
T0075,85.35560910004715
T0076,85.35560910004715
T0077,85.35560910004715
T0078,85.35560910004715
T0079,85.35560910004715
T0080,85.35560910004715
T0081,85.35560910004715
T0082,85.35560910004715
T0083,85.35560910004715
T0084,85.35560910004715
T0085,85.35560910004715
T0086,85.35560910004715
T0087,85.35560910004715
T0088,85.35560910004715
T0089,85.35560910004715
T0090,85.35560910004715
T0091,85.35560910004715
T0092,85.35560910004715
T0093,85.35560910004715
T0094,85.35560910004715
T0095,85.35560910004715
T0096,85.35560910004715
T0097,85.35560910004715
T0098,85.35560910004715
T0099,85.35560910004715
T0100,85.35560910004715
T0101,85.35560910004715
T0102,85.35560910004715
T0103,85.35560910004715
T0104,85.35560910004715
T0105,85.35560910004715
T0106,85.35560910004715
T0107,85.35560910004715
T0108,85.35560910004715
T0109,85.35560910004715
T0110,85.35560910004715
T0111,85.35560910004715
T0112,85.35560910004715
T0113,85.35560910004715
T0114,85.35560910004715
T0115,85.35560910004715
T0116,85.35560910004715
