project,name,country,policy
SAEP2019,DEsoc,DE,socioeconomic
SAEP2019,DEtax,DE,taxation
SAEP2019,DEsup,DE,support
SAEP2019,DKsoc,DK,socioeconomic
SAEP2019,DKtax,DK,taxation
SAEP2019,DKsup,DK,support
SAEP2019,FRsoc,FR,socioeconomic
SAEP2019,FRtax,FR,taxation
SAEP2019,FRsup,FR,support
