T,G_HR,value
T0417,HR_DC,70.74364752068
T0418,HR_DC,70.74364752068
T0419,HR_DC,70.74364752068
T0420,HR_DC,70.74364752068
T0421,HR_DC,70.74364752068
T0422,HR_DC,70.74364752068
T0423,HR_DC,70.74364752068
T0424,HR_DC,70.74364752068
T0425,HR_DC,70.74364752068
T0426,HR_DC,70.74364752068
T0427,HR_DC,70.74364752068
T0428,HR_DC,70.74364752068
T0429,HR_DC,70.74364752068
T0430,HR_DC,70.74364752068
T0431,HR_DC,70.74364752068
T0432,HR_DC,70.74364752068
T0433,HR_DC,70.74364752068
T0434,HR_DC,70.74364752068
T0435,HR_DC,70.74364752068
T0436,HR_DC,70.74364752068
T0437,HR_DC,70.74364752068
T0438,HR_DC,70.74364752068
T0439,HR_DC,70.74364752068
T0440,HR_DC,70.74364752068
T0441,HR_DC,70.74364752068
T0442,HR_DC,70.74364752068
T0443,HR_DC,70.74364752068
T0444,HR_DC,70.74364752068
T0445,HR_DC,70.74364752068
T0446,HR_DC,70.74364752068
T0447,HR_DC,70.74364752068
T0448,HR_DC,70.74364752068
T0449,HR_DC,70.74364752068
T0450,HR_DC,70.74364752068
T0451,HR_DC,70.74364752068
T0452,HR_DC,70.74364752068
T0453,HR_DC,70.74364752068
T0454,HR_DC,70.74364752068
T0455,HR_DC,70.74364752068
T0456,HR_DC,70.74364752068
T0457,HR_DC,70.74364752068
T0458,HR_DC,70.74364752068
T0459,HR_DC,70.74364752068
T0460,HR_DC,70.74364752068
T0461,HR_DC,70.74364752068
T0462,HR_DC,70.74364752068
T0463,HR_DC,70.74364752068
T0464,HR_DC,70.74364752068
T0465,HR_DC,70.74364752068
T0466,HR_DC,70.74364752068
T0467,HR_DC,70.74364752068
T0468,HR_DC,70.74364752068
T0469,HR_DC,70.74364752068
T0470,HR_DC,70.74364752068
T0471,HR_DC,70.74364752068
T0472,HR_DC,70.74364752068
T0473,HR_DC,70.74364752068
T0474,HR_DC,70.74364752068
T0475,HR_DC,70.74364752068
T0476,HR_DC,70.74364752068
T0477,HR_DC,70.74364752068
T0478,HR_DC,70.74364752068
T0479,HR_DC,70.74364752068
T0480,HR_DC,70.74364752068
T0481,HR_DC,70.74364752068
T0482,HR_DC,70.74364752068
T0483,HR_DC,70.74364752068
T0484,HR_DC,70.74364752068
T0485,HR_DC,70.74364752068
T0486,HR_DC,70.74364752068
T0487,HR_DC,70.74364752068
T0488,HR_DC,70.74364752068
T0489,HR_DC,70.74364752068
T0490,HR_DC,70.74364752068
T0491,HR_DC,70.74364752068
T0492,HR_DC,70.74364752068
T0493,HR_DC,70.74364752068
T0494,HR_DC,70.74364752068
T0495,HR_DC,70.74364752068
T0496,HR_DC,70.74364752068
T0497,HR_DC,70.74364752068
T0498,HR_DC,70.74364752068
T0499,HR_DC,70.74364752068
T0500,HR_DC,70.74364752068
T0501,HR_DC,70.74364752068
T0502,HR_DC,70.74364752068
T0503,HR_DC,70.74364752068
T0504,HR_DC,70.74364752068
T0505,HR_DC,70.74364752068
T0506,HR_DC,70.74364752068
T0507,HR_DC,70.74364752068
T0508,HR_DC,70.74364752068
T0509,HR_DC,70.74364752068
T0510,HR_DC,70.74364752068
T0511,HR_DC,70.74364752068
T0512,HR_DC,70.74364752068
T0513,HR_DC,70.74364752068
T0514,HR_DC,70.74364752068
T0515,HR_DC,70.74364752068
T0516,HR_DC,70.74364752068
T0517,HR_DC,70.74364752068
T0518,HR_DC,70.74364752068
T0519,HR_DC,70.74364752068
T0520,HR_DC,70.74364752068
T0521,HR_DC,70.74364752068
T0522,HR_DC,70.74364752068
T0523,HR_DC,70.74364752068
T0524,HR_DC,70.74364752068
T0525,HR_DC,70.74364752068
T0526,HR_DC,70.74364752068
T0527,HR_DC,70.74364752068
T0528,HR_DC,70.74364752068
T0529,HR_DC,70.74364752068
T0530,HR_DC,70.74364752068
T0531,HR_DC,70.74364752068
T0532,HR_DC,70.74364752068
T0533,HR_DC,70.74364752068
T0534,HR_DC,70.74364752068
T0535,HR_DC,70.74364752068
T0536,HR_DC,70.74364752068
T0537,HR_DC,70.74364752068
T0538,HR_DC,70.74364752068
T0539,HR_DC,70.74364752068
T0540,HR_DC,70.74364752068
T0541,HR_DC,70.74364752068
T0542,HR_DC,70.74364752068
T0543,HR_DC,70.74364752068
T0544,HR_DC,70.74364752068
T0545,HR_DC,70.74364752068
T0546,HR_DC,70.74364752068
T0547,HR_DC,70.74364752068
T0548,HR_DC,70.74364752068
T0549,HR_DC,70.74364752068
T0550,HR_DC,70.74364752068
T0551,HR_DC,70.74364752068
T0552,HR_DC,70.74364752068
T0553,HR_DC,70.74364752068
T0554,HR_DC,70.74364752068
T0555,HR_DC,70.74364752068
T0556,HR_DC,70.74364752068
T0557,HR_DC,70.74364752068
T0558,HR_DC,70.74364752068
T0559,HR_DC,70.74364752068
T0560,HR_DC,70.74364752068
T0561,HR_DC,70.74364752068
T0562,HR_DC,70.74364752068
T0563,HR_DC,70.74364752068
T0564,HR_DC,70.74364752068
T0565,HR_DC,70.74364752068
T0566,HR_DC,70.74364752068
T0567,HR_DC,70.74364752068
T0568,HR_DC,70.74364752068
T0569,HR_DC,70.74364752068
