project,name,country,policy
SAEP2022,DEsoc,DE,socioeconomic
SAEP2022,DEtax,DE,taxation
SAEP2022,DEsup,DE,support
SAEP2022,DKsoc,DK,socioeconomic
SAEP2022,DKtax,DK,taxation
SAEP2022,DKsup,DK,support
SAEP2022,FRsoc,FR,socioeconomic
SAEP2022,FRtax,FR,taxation
SAEP2022,FRsup,FR,support
