project,name,country,policy
SADR04,DEsoc,DE,socioeconomic
SADR04,DEtax,DE,taxation
SADR04,DEsup,DE,support
SADR04,DKsoc,DK,socioeconomic
SADR04,DKtax,DK,taxation
SADR04,DKsup,DK,support
SADR04,FRsoc,FR,socioeconomic
SADR04,FRtax,FR,taxation
SADR04,FRsup,FR,support
