project,name,country,policy
BASE,DEsoc,DE,socioeconomic
BASE,DEtax,DE,taxation
BASE,DEsup,DE,support
BASE,DKsoc,DK,socioeconomic
BASE,DKtax,DK,taxation
BASE,DKsup,DK,support
BASE,FRsoc,FR,socioeconomic
BASE,FRtax,FR,taxation
BASE,FRsup,FR,support
